r_kpc,phi_mid,lap_phi,K_free_phi,V_eff,K_eff_phi
40.34030037546933,0.000487452829123608,1.7973532696864333e-06,-1.7973532696864333e-06,0.0014047835854967983,-1.112587536629613e-06
40.590550688360445,0.0004784925145536324,1.7426253401935105e-06,-1.7426253401935105e-06,0.0013796112201452334,-1.0824916983598128e-06
40.84080100125156,0.00046975047148499407,1.6898849949151218e-06,-1.6898849949151218e-06,0.0013550355224507921,-1.053356419364947e-06
41.09105131414268,0.0004612200938751731,1.6390485263236256e-06,-1.6390485263236256e-06,0.0013310390343024446,-1.0251465779711324e-06
41.341301627033786,0.0004528950141569684,1.5900362317421066e-06,-1.5900362317421066e-06,0.0013076049013269729,-9.97828491443906e-07
41.5915519399249,0.00044476909325495614,1.5427721990793334e-06,-1.5427721990793334e-06,0.0012847168489513567,-9.713698510818741e-07
41.84180225281602,0.0004368364110767677,1.4971841052181458e-06,-1.4971841052181458e-06,0.0012623591595286123,-9.457396604797819e-07
42.09205256570713,0.00042909125745392704,1.4532030262403222e-06,-1.4532030262403222e-06,0.0012405166504751155,-9.209081767954212e-07
42.34230287859824,0.00042152812350847743,1.4107632587549901e-06,-1.4107632587549901e-06,0.0012191746533701843,-8.968468548907579e-07
42.59255319148936,0.0004141416934230182,1.3698021515820837e-06,-1.3698021515820837e-06,0.0011983189939713107,-8.735282941578375e-07
42.84280350438047,0.00040692683659306614,1.3302599471758858e-06,-1.3302599471758858e-06,0.0011779359731008711,-8.509261879327733e-07
43.09305381727158,0.00039987860014187516,1.292079632111905e-06,-1.292079632111905e-06,0.001158012348362436,-8.290152753017287e-07
43.3433041301627,0.0003929922017789908,1.255206796165487e-06,-1.255206796165487e-06,0.0011385353166470133,-8.077712952732368e-07
43.59355444305381,0.00038626302298488344,1.2195894993201908e-06,-1.2195894993201908e-06,0.0011194924973915933,-7.871709430688172e-07
43.84380475594492,0.00037968660250500136,1.185178146345565e-06,-1.185178146345565e-06,0.0011008719165543199,-7.671918285558858e-07
44.09405506883604,0.00037325863013753477,1.151925368355795e-06,-1.151925368355795e-06,0.001082661991272447,-7.478124365914658e-07
