r_kpc,rho_total,rho_UV,rho_MID,rho_IR,M3D_total_Msun,M3D_UV_Msun,M3D_MID_Msun,M3D_IR_Msun,V_circ_km_s
37.8377972465582,1044704.5666965431,-0.41504386475988475,85431.85350285393,959273.128237554,551269345076.4785,-38652221.30754425,153145035886.43085,398162961411.35535,250.3220898731931
38.08804755944931,1032154.6430477406,-0.4042430279629573,83758.95178359075,948396.0955071778,555975521967.5565,-38654077.72974706,153528413667.87985,402485762377.40643,250.56110610867339
38.33829787234042,1019822.7109917047,-0.39379125912482943,82129.44421452701,937693.6605684368,560686822615.352,-38655909.91612193,153909280732.0282,406816197793.24005,250.79792461913627
38.58854818523154,1007703.8742230891,-0.38367510765930624,80541.93284543438,927162.3250527624,565403157389.0288,-38657718.33819698,154287669750.3242,411154145357.04285,251.0325700169366
38.83879849812265,995793.370855121,-0.3738817237866929,78995.0734220075,916798.6713148372,570124438470.926,-38659503.45534708,154663612760.6117,415499485213.7698,251.2650666916356
39.08904881101376,984086.5690381452,-0.3643988280581305,77487.57299495311,906599.3604420202,574850579816.425,-38661265.71518297,155037141183.40854,419852099898.73175,251.49543880672445
39.33929912390488,972578.9627457506,-0.3552146826080615,76018.18764997752,896561.1303104557,579581497114.6863,-38663005.553925335,155408285837.66565,424211874282.5746,251.7237102967477
39.58954943679599,961266.1677209592,-0.3463180640266159,74585.72035183854,886680.7936871847,584317107750.2461,-38664723.39676491,155777076956.02615,428578695517.61664,251.94990486480242
39.8397997496871,950143.9175753648,-0.33769823775112995,73189.01889605337,876955.2363775492,589057330765.4609,-38666419.65820889,156143544199.60406,432952452985.5151,252.1740459803896
40.09005006257821,939208.0600344772,-0.3293449338828622,71826.97396225359,867381.4154171575,593802086823.7827,-38668094.74241434,156507716672.29996,437333038246.22516,252.39615687759647
40.34030037546933,928454.553322861,-0.3212483243413109,70498.51726354581,857956.3573076394,598551298173.8535,-38669749.0435093,156869622934.67154,441720344988.22534,252.6162605535888
40.590550688360445,917879.4626830198,-0.31339900127444575,69202.61978658597,848677.1562954352,603304888614.4016,-38671382.945901915,157229291017.37476,446114268979.9726,252.83437976739341
40.84080100125156,907478.9570222375,-0.3057879566485862,67938.29011739293,839540.9726928012,608062783459.9326,-38672996.82457826,157586748434.19238,450514708022.56464,253.05053703895365
41.09105131414268,897249.3056819284,-0.298406562946765,66704.57284823325,830545.0312402581,612824909507.1909,-38674591.045389265,157942022194.66434,454921561903.5718,253.26475464843853
