model,r_scale,V0,chi2,dof,chi2_dof,success,nfev,galaxy,rank
NFW,5.07933794111859,215.36972893889254,21.62089853298096,6,3.60348308883016,True,109,UGC04325_rotmod,4.0
Burkert,1.5052296111821502,141.08178597967114,1.5268794945307103,6,0.25447991575511836,True,94,UGC04325_rotmod,1.0
PseudoIso,0.7879666423418807,107.09230754646673,8.118709351525677,6,1.3531182252542795,True,105,UGC04325_rotmod,3.0
Einasto_alpha0.18,9.3132413749851,96.8398963278527,27.754440313438412,6,4.625740052239736,True,124,UGC04325_rotmod,5.0
GenFT,0.05918966542047761,24.023789929679985,1.5253666530327485,6,0.2542277755054581,True,116,UGC04483_rotmod,2.0
NFW,2.629423410498707,66.9393212222152,4.97351458307271,6,0.828919097178785,True,115,UGC04483_rotmod,4.0
Burkert,0.4916295845469588,37.310791634901975,1.3574531457602603,6,0.2262421909600434,True,94,UGC04483_rotmod,1.0
PseudoIso,0.2793183420091163,29.507235753330548,1.6184474549270904,6,0.2697412424878484,True,93,UGC04483_rotmod,3.0
Einasto_alpha0.18,4.786479289485698,24.575282517002478,6.629116575231583,6,1.104852762538597,True,134,UGC04483_rotmod,5.0
GenFT,0.3489178664736819,73.23536326059848,1.8817157752785474,7,0.26881653932550675,True,125,UGC04499_rotmod,3.0
NFW,12.009531240416397,186.49028630103328,6.966048170697647,7,0.9951497386710925,True,125,UGC04499_rotmod,4.0
Burkert,2.8021223083808158,112.58279360012244,0.6161150718517828,7,0.08801643883596898,True,92,UGC04499_rotmod,1.0
PseudoIso,1.5131778616976472,87.29086983394687,0.6383247355949198,7,0.09118924794213139,True,98,UGC04499_rotmod,2.0
Einasto_alpha0.18,27.196001874505058,76.92757902913142,9.670524633256887,7,1.3815035190366982,True,133,UGC04499_rotmod,5.0
GenFT,1.088192921119755,99.7600095831217,0.4841876174602485,9,0.053798624162249835,True,115,UGC05005_rotmod,1.0
NFW,52.74426473168804,271.97799656414475,2.0340293237450298,9,0.2260032581938922,True,126,UGC05005_rotmod,4.0
Burkert,8.845963869201508,152.34508864104137,0.5049327474024918,9,0.05610363860027687,True,97,UGC05005_rotmod,2.0
PseudoIso,4.859744058351659,117.35938166877807,0.5607019694807709,9,0.06230021883119677,True,100,UGC05005_rotmod,3.0
Einasto_alpha0.18,92.41487002205204,103.0081520785857,4.651734504601238,9,0.5168593894001376,True,140,UGC05005_rotmod,5.0
GenFT,0.656963780404895,285.3337978614667,61468.897350662046,71,865.7591176149584,True,233,UGC05253_rotmod,5.0
NFW,2.4800538666682357,565.4854039430593,1620.1440514472415,71,22.818930302073824,True,110,UGC05253_rotmod,3.0
Burkert,1.3912937227356204,416.1978313471574,4440.2752404585035,71,62.53908789378174,True,95,UGC05253_rotmod,4.0
PseudoIso,0.00459111929404062,244.256031061886,344.30969572610474,71,4.849432334170489,True,126,UGC05253_rotmod,1.0
Einasto_alpha0.18,2.754730555309546,259.73092846225904,1091.8202286819353,71,15.377749699745568,True,92,UGC05253_rotmod,2.0
GenFT,0.2904236188576016,63.337183382964035,0.41189755057589716,4,0.10297438764397429,True,129,UGC05414_rotmod,2.0
NFW,23637.20696391259,6636.624395914128,4.9956652551965455,4,1.2489163137991364,True,1011,UGC05414_rotmod,4.0
Burkert,2.5060200383131193,100.14358694865291,0.4323342403806154,4,0.10808356009515385,True,101,UGC05414_rotmod,3.0
PseudoIso,1.5389389300568679,82.29774569383825,0.3279797014304332,4,0.0819949253576083,True,92,UGC05414_rotmod,1.0
Einasto_alpha0.18,27.06941658226512,57.91172272757285,20.05864312956807,4,5.014660782392017,True,168,UGC05414_rotmod,5.0
GenFT,0.44101246101890973,72.64981773543235,113.65310516409873,10,11.365310516409874,True,121,UGC05716_rotmod,5.0
NFW,9.799462805186282,166.09726546426316,23.128479959590365,10,2.3128479959590367,True,112,UGC05716_rotmod,1.0
Burkert,3.408639308787528,110.28054183180129,75.00123817785796,10,7.500123817785796,True,90,UGC05716_rotmod,4.0
PseudoIso,1.6013622470850921,82.6841510774814,40.2646025994863,10,4.02646025994863,True,107,UGC05716_rotmod,3.0
Einasto_alpha0.18,15.892153547902026,75.91183797222644,27.319485223734368,10,2.731948522373437,True,106,UGC05716_rotmod,2.0
GenFT,0.11182311441129449,85.68908161917915,25.16503377408508,21,1.198334941623099,True,113,UGC05721_rotmod,4.0
NFW,2.006543162280394,173.85326518411446,18.87294217476585,21,0.8987115321317072,True,102,UGC05721_rotmod,2.0
Burkert,0.8524849336240692,125.37101714660203,13.914754122969835,21,0.6626073391890398,True,87,UGC05721_rotmod,1.0
PseudoIso,0.30049028847994574,85.18567917675952,19.335474201416037,21,0.920736866734097,True,99,UGC05721_rotmod,3.0
Einasto_alpha0.18,2.6897144848128196,81.38547742116523,29.15966496654063,21,1.3885554745971729,True,103,UGC05721_rotmod,5.0
GenFT,0.90116662975696,82.78049156243796,0.6141642671026319,9,0.06824047412251466,True,113,UGC05750_rotmod,1.0
NFW,66.11314230326393,267.5243817968959,11.716340327743909,9,1.3018155919715455,True,127,UGC05750_rotmod,4.0
Burkert,7.503718203832088,127.48837260352728,0.7005263032700594,9,0.07783625591889548,True,101,UGC05750_rotmod,2.0
PseudoIso,4.438457789868733,101.87430671643197,1.3729883595096068,9,0.1525542621677341,True,90,UGC05750_rotmod,3.0
Einasto_alpha0.18,36.7289867411822,74.87416072505562,22.795768743058236,9,2.5328631936731374,True,154,UGC05750_rotmod,5.0
GenFT,0.1360532224964729,54.54962290970036,17.007784779840662,8,2.125973097480083,True,125,UGC05764_rotmod,1.0
NFW,3.4263200895833608,131.20158227938265,59.97052761207022,8,7.496315951508778,True,113,UGC05764_rotmod,4.0
Burkert,1.0980318893882006,84.45238950127211,21.26694285682804,8,2.658367857103505,True,100,UGC05764_rotmod,2.0
PseudoIso,0.5696126655921696,65.47722364809994,34.397035201801735,8,4.299629400225217,True,124,UGC05764_rotmod,3.0
